ID	Type	Longitude	Latitude
VA74	c	-79.03795149	38.13248564
VA75	c	-78.67266957	38.41585476
R1	c	-78.356543	39.784252
R2	c	-76.716984	39.705155
R3	c	-76.57534	38.382853
R4	c	-76.409364	37.559374
R5	c	-77.655695	36.704665
R6	c	-76.925063	38.727286
R7	c	-78.647809	39.543564
R8	c	-79.648122	36.995198
R9	c	-78.196038	38.277053
R10	c	-75.941614	37.286245
R11	c	-79.416061	37.042874
R12	c	-76.275829	38.36098
R13	c	-77.735169	37.84389
R14	c	-77.391155	36.865341
R15	c	-77.873796	38.253608
R16	c	-76.248141	37.224788
R17	c	-79.216982	37.051705
R18	c	-77.273285	36.81051
R19	c	-78.096615	37.728733
R20	c	-76.885788	37.561103
R21	c	-76.525833	37.588112
R22	c	-77.608154	39.280298
R23	c	-77.029146	39.328648
R24	c	-79.078591	36.778063
R25	c	-77.208537	37.536565
R27	c	-80.01862	37.431396
R28	c	-76.089511	38.325996
R29	c	-76.522211	39.335905
R30	c	-76.103783	39.524095
R31	c	-76.224126	36.992665
R32	c	-80.260026	38.220208
R33	c	-76.560178	38.503395
R34	c	-78.558591	39.950154
R35	c	-76.73621	37.767331
R36	c	-79.319111	37.187382
R37	c	-77.603138	37.610052
R38	c	-78.35444	38.273996
R39	c	-77.933036	39.287364
R40	c	-78.92966	39.656048
R41	c	-77.073726	37.012772
R43	c	-76.567701	39.486308
R44	c	-77.91099	36.831003
R45	c	-78.737348	38.059094
R46	c	-79.414686	38.058736
R47	c	-78.214721	37.029053
R48	c	-76.237664	38.603045
R49	c	-77.125777	39.168692
R50	c	-80.171708	37.434059
R51	c	-76.493067	38.480357
R52	c	-77.831748	37.324885
R53	c	-78.067728	37.809924
R54	c	-77.877607	37.963299
R55	c	-78.277594	39.767883
R56	c	-76.970814	38.977371
R57	c	-78.611895	37.926091
R58	c	-80.291959	39.045462
R59	c	-76.955831	36.677875
R60	c	-76.297175	39.683583
R61	c	-78.787467	38.260829
R62	c	-78.621053	37.84038
R64	c	-78.992719	38.485393
R66	c	-77.457968	38.517521
R67	c	-79.507101	38.5795
R68	c	-76.867021	38.007215
R69	c	-76.740381	38.477947
R70	c	-77.611204	38.614066
R71	c	-77.17843	37.462671
R72	c	-80.076553	37.272609
R73	c	-79.996389	39.03601
R74	c	-77.404822	36.731922
R75	c	-77.034977	37.786419
R76	c	-79.859458	39.218141
R77	c	-76.515256	38.367669
R78	c	-77.813469	37.876749
R79	c	-78.081945	39.595172
R80	c	-77.444637	38.091332
R81	c	-76.778506	38.440442
R82	c	-79.899041	38.206891
R83	c	-76.096935	37.513148
R84	c	-78.960456	37.741992
R85	c	-77.52429	37.034147
R87	c	-77.397604	39.580715
R88	c	-79.240356	38.397219
R89	c	-79.575073	36.903314
R90	c	-77.489056	38.00979
R91	c	-78.299833	37.134707
R92	c	-76.902304	37.976401
R93	c	-78.008664	37.404245
R94	c	-76.536592	37.702771
R95	c	-77.923618	37.538419
R96	c	-78.502582	39.305657
R98	c	-77.539472	38.750204
R99	c	-78.064503	37.028462
R100	c	-76.904625	39.925639
R101	c	-78.346252	36.954222
R102	c	-79.302308	39.333305
R103	c	-77.081653	36.9977
R104	c	-76.243739	37.627274
R105	c	-76.817923	37.786585
R106	c	-78.530193	39.661455
R107	c	-80.339652	37.275775
R108	c	-76.368124	36.66885
R110	c	-77.958103	38.075006
R112	c	-78.593106	37.340248
R113	c	-79.310434	37.937927
R114	c	-77.86706	37.057353
R116	c	-76.428721	36.997215
R117	c	-79.555146	37.494893
R118	c	-77.722349	39.779892
R120	c	-79.753031	36.786472
R121	c	-77.527765	39.709359
R122	c	-76.773145	36.692063
R123	c	-79.135267	37.173388
R124	c	-75.980974	37.529019
R125	c	-78.586794	39.083932
R126	c	-77.179583	38.191544
R127	c	-77.372374	36.760037
R128	c	-78.14545	38.3673
R129	c	-78.481129	37.709854
R130	c	-78.386782	38.902799
R131	c	-79.265869	38.339938
R132	c	-76.413999	38.389069
R133	c	-76.818743	37.283565
R134	c	-79.25311	37.861975
R135	c	-77.363851	38.685413
R136	c	-76.3345	37.019787
R137	c	-79.130631	37.518557
R138	c	-80.053144	38.002474
R139	c	-78.325683	37.323471
R141	c	-80.19658	38.6159557
R142	c	-78.212588	39.1172107
R143	c	-77.762048	39.5197221
R145	c	-78.602422	38.7380087
R146	c	-76.879446	38.6841445
R147	c	-76.927354	38.2255062
R148	c	-77.14176	38.232527
R149	c	-80.271503	38.5446351
R150	c	-79.059284	37.6707795
R151	c	-77.415246	37.0701268
R152	c	-76.15054	38.8843379
R153	c	-77.000626	37.4865376
R154	c	-78.365198	37.3822704
R155	c	-78.245654	38.4449127
R156	c	-77.259268	39.2196824
R157	c	-79.738725	38.3264931
R158	c	-76.337866	39.1451784
R159	c	-79.043951	38.8290192
R160	c	-76.192801	39.7162195
R161	c	-76.905733	37.368806
R163	c	-78.488112	37.0378791
R164	c	-79.402679	37.8014548
R165	c	-80.391261	37.6992187
R166	c	-77.670063	37.3909943
R167	c	-76.19373	39.7837073
R168	c	-78.011989	38.6115651

Q Vehicle fuel tank capacity /60/
r fuel consumption rate /0.2/
TL TourLength /11/
v average Velocity /40/
m numVeh /20/
